Shorthand	DOI	Authors	Journal	Title	Date	bioRxiv DOI	Reported cells total	Organism	Tissue	Technique	Data location	Panel size	Measurement	Cell source	Disease	Contrasts	Developmental stage	Number of reported cell types or clusters	Cell clustering	Pseudotime	RNA Velocity	PCA	tSNE	H5AD location	Isolation	BC --> Cell ID _OR_ BC --> Cluster ID	Number individuals
Flores et al NNanotechnology	10.1038/s41565-019-0619-3	Alyssa M. Flores, Niloufar Hosseini-Nassab, Kai-Uwe Jarr, Jianqin Ye, Xingjun Zhu, Robert Wirka, Ai Leen Koh, Pavlos Tsantilas, Ying Wang, Vivek Nanda, Yoko Kojima, Yitian Zeng, Mozhgan Lotfi, Robert Sinclair, Irving L. Weissman, Erik Ingelsson, Bryan Ronain Smith, Nicholas J. Leeper	Nat. Nanotechnol.	Pro-efferocytic nanoparticles are specifically taken up by lesional macrophages and prevent atherosclerosis	20200127	""	""	Mouse	Heart	Chromium	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Mayr et al medRxiv	10.1101/2020.01.21.20018358	Christoph H. Mayr, Lukas M. Simon, Gabriela Leuschner, Meshal Ansari, Philipp Emanuel Geyer, Ilias Angelidis, Maximilian Strunz, Pawandeep Singh, Nikolaus Kneidinger, Frank Reichenberger, Edith Silbernagel, Stephan Boehm, Heiko Adler, Anne Hilgendorff, Michael Lindner, Antje Prasse, Juergen Behr, Matthias Mann, Oliver Eickelberg, Fabian J. Theis, Herbert B Schiller	medRxiv	Integrated single cell analysis of human lung fibrosis resolves cellular origins of predictive protein signatures in body fluids	20200127	10.1101/2020.01.21.20018358	233,638	Human	Lung	Drop-seq	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Orozco et al CReports	10.1016/j.celrep.2019.12.082	Luz D. Orozco, Hsu-Hsin Chen, Christian Cox, Kenneth J. Katschke, Rommel Arceo, Carmina Espiritu, Patrick Caplazi, Sarajane Saturnio Nghiem, Ying-Jiun Chen, Zora Modrusan, Amy Dressen, Leonard D. Goldstein, Christine Clarke, Tushar Bhangale, Brian Yaspan, Marion Jeanne, Michael J. Townsend, Menno van Lookeren Campagne, Jason A. Hackney	Cell Reports	Integration of eQTL and a Single-Cell Atlas in the Human Eye Identifies Causal Genes for Age-Related Macular Degeneration	20200128	-	100,055	Human	Eye	Chromium	GSE135133	""	RNA-seq	Nuclei from eyes with no retinal disease	""	""	""	27	Yes	No	No	Yes	Yes	""	""	GSE135133	
Rendeiro et al NCommunications	10.1038/s41467-019-14081-6	André F. Rendeiro, Thomas Krausgruber, Nikolaus Fortelny, Fangwen Zhao, Thomas Penz, Matthias Farlik, Linda C. Schuster, Amelie Nemc, Szabolcs Tasnády, Marienn Réti, Zoltán Mátrai, Donát Alpár, Csaba Bödör, Christian Schmidl, Christoph Bock	Nat Commun	Chromatin mapping and single-cell immune profiling define the temporal dynamics of ibrutinib response in CLL	20200129	10.1101/597005	43,000	Human	""	Chromium	GSE111015	""	RNA-seq	CLL	""	""	""		""	""	""	""	""	""	""	""	
Oatley et al bioRxiv	10.1038/s41467-019-14171-5	Morgan Oatley, Özge Vargel Bölükbası, Valentine Svensson, Maya Shvartsman, Kerstin Ganter, Katharina Zirngibl, Polina V. Pavlovich, Vladislava Milchevskaya, Vladimira Foteva, Kedar N. Natarajan, Bianka Baying, Vladimir Benes, Kiran R. Patil, Sarah A. Teichmann, Christophe Lancrin	Nat Commun	Single-cell transcriptomics identifies CD44 as a marker and regulator of endothelial to haematopoietic transition	20200129	10.1101/338178	94	Mouse	""	SMARTer (C1)	E-MTAB-6987	""	RNA-seq	""	""	""	E10.5		""	""	""	""	""	""	""	""	
Rendeiro et al NCommunications	10.1038/s41467-019-14081-6	André F. Rendeiro, Thomas Krausgruber, Nikolaus Fortelny, Fangwen Zhao, Thomas Penz, Matthias Farlik, Linda C. Schuster, Amelie Nemc, Szabolcs Tasnády, Marienn Réti, Zoltán Mátrai, Donát Alpár, Csaba Bödör, Christian Schmidl, Christoph Bock	Nat Commun	Chromatin mapping and single-cell immune profiling define the temporal dynamics of ibrutinib response in CLL	20200129	""	""	Human	Blood	Chromium	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Wolfien et al Cells	10.3390/cells9020318	Markus Wolfien, Anne-Marie Galow, Paula Müller, Madeleine Bartsch, Ronald M. Brunner, Tom Goldammer, Olaf Wolkenhauer, Andreas Hoeflich, Robert David	Cells	Single-Nucleus Sequencing of an Entire Mammalian Heart: Cell Type Composition and Velocity	20200129	""	""	Mouse	Heart	Chromium	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Bhaduri et al Nature	10.1038/s41586-020-1962-0	Aparna Bhaduri, Madeline G. Andrews, Walter Mancia Leon, Diane Jung, David Shin, Denise Allen, Dana Jung, Galina Schmunk, Maximilian Haeussler, Jahan Salma, Alex A. Pollen, Tomasz J. Nowakowski, Arnold R. Kriegstein	Nature	Cell stress in cortical organoids impairs molecular subtype specification	20200129	""	424,530	Human	Brain, Culture	""	""	""	RNA-seq	Human cortex (central (motor), V1, parietal, frontal, temporal), hippocampus, and cortical organoids	""	Primary vs Organoid, 7 cortical regions, 3 organoid protocols, iPSC vs ESC, Differentiation times 3w 5w 8w 10w 15w 24w, pre vs post primary-to-organoid transplantaion	GW6 - GW22, GW14, GW18, GW22		""	""	""	""	Yes	""	""	""	
Selewa et al SReports	10.1038/s41598-020-58327-6	Alan Selewa, Ryan Dohn, Heather Eckart, Stephanie Lozano, Bingqing Xie, Eric Gauchat, Reem Elorbany, Katherine Rhodes, Jonathan Burnett, Yoav Gilad, Sebastian Pott, Anindita Basu	Sci Rep	Systematic Comparison of High-throughput Single-Cell and Single-Nucleus Transcriptomes during Cardiomyocyte Differentiation	20200130	10.1101/585901	42,704	Human	Culture	Drop-seq & DroNc-seq	GSE129096	""	RNA-seq	iPSCs differentiating to cardiomyocytes	""	""	""		Yes	Yes	""	""	Yes	""	""	""	
Wang et al Cell	10.1016/j.cell.2020.01.009	Si Wang, Yuxuan Zheng, Jingyi Li, Yang Yu, Weiqi Zhang, Moshi Song, Zunpeng Liu, Zheying Min, Huifang Hu, Ying Jing, Xiaojuan He, Liang Sun, Lifang Ma, Concepcion Rodriguez Esteban, Piu Chan, Jie Qiao, Qi Zhou, Juan Carlos Izpisua Belmonte, Jing Qu, Fuchou Tang, Guang-Hui Liu	Cell	Single-Cell Transcriptomic Atlas of Primate Ovarian Aging	20200130	""	2,000	Crab-eating macaque	Ovary	STRT-seq	""	""	RNA-seq	""	""	Young vs Old	4-5 years, 18-20 years		""	""	""	""	""	""	""	""	
Wertz et al Neuron	10.1016/j.neuron.2020.01.004	Mary H. Wertz, Mollie R. Mitchem, S. Sebastian Pineda, Lea J. Hachigian, Hyeseung Lee, Vanessa Lau, Alex Powers, Ruth Kulicke, Gurrein K. Madan, Medina Colic, Martine Therrien, Amanda Vernon, Victoria F. Beja-Glasser, Mudra Hegde, Fan Gao, Manolis Kellis, Traver Hart, John G. Doench, Myriam Heiman	Neuron	Genome-wide In Vivo CNS Screening Identifies Genes that Modify CNS Neuronal Survival and mHTT Toxicity	20200130	""	""	Mouse	Brain	Chromium	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Hurley et al CSC	10.1016/j.stem.2019.12.009	Killian Hurley, Jun Ding, Carlos Villacorta-Martin, Michael J. Herriges, Anjali Jacob, Marall Vedaie, Konstantinos D. Alysandratos, Yuliang L. Sun, Chieh Lin, Rhiannon B. Werder, Jessie Huang, Andrew A. Wilson, Aditya Mithal, Gustavo Mostoslavsky, Irene Oglesby, Ignacio S. Caballero, Susan H. Guttentag, Farida Ahangari, Naftali Kaminski, Alejo Rodriguez-Fraticelli, Fernando Camargo, Ziv Bar-Joseph, Darrell N. Kotton	Cell Stem Cell	Reconstructed Single-Cell Fate Trajectories Define Lineage Plasticity Windows during Differentiation of Human PSC-Derived Distal Lung Progenitors	20200130	""	""	Human	Culture	Chromium	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Wang et al SCR	10.1016/j.stemcr.2020.01.007	Rong Wang, Roshan Sharma, Xiaojuan Shen, Ashley M. Laughney, Kosuke Funato, Philip J. Clark, Monika Shpokayte, Peter Morgenstern, Monalisa Navare, Yichi Xu, Shaghayegh Harbi, Ignas Masilionis, Gouri Nanjangud, Yanhong Yang, Gabriel Duran-Rehbein, Martin Hemberg, Dana Pe'er, Viviane Tabar	Stem Cell Reports	Adult Human Glioblastomas Harbor Radial Glia-like Cells	20200130	""	12,367	Human	Brain, Tumor	Chromium	GSE139448	""	RNA-seq	""	""	""	""	18	Yes	Yes	No	Yes	Yes	""	""	""	3
Ikonomou et al NCommunications	10.1038/s41467-020-14348-3	Laertis Ikonomou, Michael J. Herriges, Sara L. Lewandowski, Robert Marsland, Carlos Villacorta-Martin, Ignacio S. Caballero, David B. Frank, Reeti M. Sanghrajka, Keri Dame, Maciej M. Kańduła, Julia Hicks-Berthet, Matthew L. Lawton, Constantina Christodoulou, Attila J. Fabian, Eric Kolaczyk, Xaralabos Varelas, Edward E. Morrisey, John M. Shannon, Pankaj Mehta, Darrell N. Kotton	Nat Commun	The in vivo genetic program of murine primordial lung epithelial progenitors	20200131	""	""	Mouse	Brain, Lung, Thyroid	Chromium	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Hoa et al FMN	10.3389/fnmol.2020.00013	Michael Hoa, Rafal Olszewski, Xiaoyi Li, Ian Taukulis, Shoujun Gu, Alvin DeTorres, Ivan A. Lopez, Fred H. Linthicum Jr., Akira Ishiyama, Daniel Martin, Robert J. Morell, Matthew W. Kelley	Front. Mol. Neurosci.	Characterizing Adult Cochlear Supporting Cell Transcriptional Diversity Using Single-Cell RNA-Seq: Validation in the Adult Mouse and Translational Implications for the Adult Human Cochlea	20200205	10.1101/742270	279	Mouse	Ear	SMARTer (C1)	GSE135703	""	RNA-seq	""	""	""	""		""	""	""	Yes	Yes	""	""	""	
Sandén et al NCommunications	10.1038/s41467-019-14106-0	Carl Sandén, Henrik Lilljebjörn, Christina Orsmark Pietras, Rasmus Henningsson, Karim H. Saba, Niklas Landberg, Hanna Thorsson, Sofia von Palffy, Pablo Peña-Martinez, Carl Högberg, Marianne Rissler, David Gisselsson, Vladimir Lazarevic, Gunnar Juliusson, Helena Ågerstam, Thoas Fioretos	Nat Commun	Clonal competition within complex evolutionary hierarchies shapes AML over time	20200205	""	""	Human, Mouse	Tumor	Chromium	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Jadhav et al MCell	10.1016/j.molcel.2020.01.017	Unmesh Jadhav, Elisa Manieri, Kodandaramireddy Nalapareddy, Shariq Madha, Shaon Chakrabarti, Kai Wucherpfennig, Megan Barefoot, Ramesh A. Shivdasani	Molecular Cell	Replicational Dilution of H3K27me3 in Mammalian Cells and the Role of Poised Promoters	20200205	""	""	Mouse	Intestine	Chromium	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
He et al JACI	10.1016/j.jaci.2020.01.042	Helen He, Hemant Suryawanshi, Pavel Morozov, Jesús Gay-Mimbrera, Ester Del Duca, Hyun Je Kim, Naoya Kameyama, Yeriel Estrada, Evan Der, James G. Krueger, Juan Ruano, Thomas Tuschl, Emma Guttman-Yassky	Journal of Allergy and Clinical Immunology	Single-cell transcriptome analysis of human skin identifies novel fibroblast subpopulation and enrichment of immune subsets in atopic dermatitis	20200207	""	39,042	Human	Skin	Chromium	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Glaser et al PNAS	10.1073/pnas.1913481117	Simone F. Glaser, Andreas W. Heumüller, Lukas Tombor, Patrick Hofmann, Marion Muhly-Reinholz, Ariane Fischer, Stefan Günther, Karoline E. Kokot, Hitoshi Okada, David Hassel, Sandeep Kumar, Hanjoong Jo, Reinier A. Boon, Wesley Abplanalp, David John, Jes-Niels Boeckel, Stefanie Dimmeler	Proc Natl Acad Sci USA	The histone demethylase JMJD2B regulates endothelial-to-mesenchymal transition	20200208	""	""	Human, Mouse	Heart	Chromium	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Cuomo et al NCommunications	10.1038/s41467-020-14457-z	Anna S. E. Cuomo, HipSci Consortium, Daniel D. Seaton, Davis J. McCarthy, Iker Martinez, Marc Jan Bonder, Jose Garcia-Bernardo, Shradha Amatya, Pedro Madrigal, Abigail Isaacson, Florian Buettner, Andrew Knights, Kedar Nath Natarajan, Ludovic Vallier, John C. Marioni, Mariya Chhatriwala, Oliver Stegle	Nat Commun	Single-cell RNA-sequencing of differentiating iPS cells reveals dynamic genetic effects on gene expression	20200210	10.1101/630996	36,044	Human	Culture	Smart-seq2	https://zenodo.org/record/3625024#.Xil-0y2cZ0s	""	RNA-seq	Endoderm differentiated iPSCs	""	""	""		No	Yes	No	Yes	No	""	""	""	125
Hu et al CCell	10.1016/j.ccell.2020.01.003	Zhiyuan Hu, Mara Artibani, Abdulkhaliq Alsaadi, Nina Wietek, Matteo Morotti, Tingyan Shi, Zhe Zhong, Laura Santana Gonzalez, Salma El-Sahhar, Mohammad KaramiNejadRanjbar, Garry Mallett, Yun Feng, Kenta Masuda, Yiyan Zheng, Kay Chong, Stephen Damato, Sunanda Dhar, Leticia Campo, Riccardo Garruto Campanile, Hooman Soleymani majd, Vikram Rai, David Maldonado-Perez, Stephanie Jones, Vincenzo Cerundolo, Tatjana Sauka-Spengler, Christopher Yau, Ahmed Ashour Ahmed	Cancer Cell	The Repertoire of Serous Ovarian Cancer Non-genetic Heterogeneity Revealed by Single-Cell Sequencing of Normal Fallopian Tube Epithelial Cells	20200210	10.1101/672626	6,000	Human	Fallopian tube	Smart-seq2	""	""	RNA-seq	""	""	""	""		Yes	Yes	""	""	""	""	""	""	
Laugney et al NMedicine	10.1038/s41591-019-0750-6	Ashley M. Laughney, Jing Hu, Nathaniel R. Campbell, Samuel F. Bakhoum, Manu Setty, Vincent-Philippe Lavallée, Yubin Xie, Ignas Masilionis, Ambrose J. Carr, Sanjay Kottapalli, Viola Allaj, Marissa Mattar, Natasha Rekhtman, Joao B. Xavier, Linas Mazutis, John T. Poirier, Charles M. Rudin, Dana Pe’er, Joan Massagué	Nat Med	Regenerative lineages and immune-mediated pruning in lung cancer metastasis	20200210	""	""	Human	Lung, Tumor	Chromium	GSE123904	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Chandra et al CResearch	10.1158/0008-5472.CAN-19-1305	Ankush Chandra, Arman Jahangiri, William Chen, Alan T. Nguyen, Garima Yagnik, Matheus P. Pereira, Saket Jain, Joseph H. Garcia, Sumedh S. Shah, Harsh Wadhwa, Rushikesh S. Joshi, Jacob Weiss, Kayla J. Wolf, Jung-Ming G. Lin, Sören Müller, Jonathan W. Rick, Aaron A. Diaz, Luke A. Gilbert, Sanjay Kumar, Manish K. Aghi	Cancer Res	Clonal ZEB1-Driven Mesenchymal Transition Promotes Targetable Oncologic Antiangiogenic Therapy Resistance	20200210	""	""	Mouse	Tumor	Chromium	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Fasolino et al Immunity	10.1016/j.immuni.2020.01.003	Maria Fasolino, Naomi Goldman, Wenliang Wang, Benjamin Cattau, Yeqiao Zhou, Jelena Petrovic, Verena M. Link, Allison Cote, Aditi Chandra, Michael Silverman, Eric F. Joyce, Shawn C. Little, Klaus H. Kaestner, Ali Naji, Arjun Raj, Jorge Henao-Mejia, Robert B. Faryabi, Golnaz Vahedi	Immunity	Genetic Variation in Type 1 Diabetes Reconfigures the 3D Chromatin Organization of T Cells and Alters Gene Expression	20200211	""	""	Mouse	Thymus	Chromium	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Aynaud et al CReports	10.1016/j.celrep.2020.01.049	Marie-Ming Aynaud, Olivier Mirabeau, Nadege Gruel, Sandrine Grossetête, Valentina Boeva, Simon Durand, Didier Surdez, Olivier Saulnier, Sakina Zaïdi, Svetlana Gribkova, Aziz Fouché, Ulykbek Kairov, Virginie Raynal, Franck Tirode, Thomas G.P. Grünewald, Mylene Bohec, Sylvain Baulande, Isabelle Janoueix-Lerosey, Jean-Philippe Vert, Emmanuel Barillot, Olivier Delattre, Andrei Zinovyev	Cell Reports	Transcriptional Programs Define Intratumoral Heterogeneity of Ewing Sarcoma at Single-Cell Resolution	20200211	10.1101/623710	1,964	Human	""	Chromium & SMARTer (C1)	""	""	RNA-seq	Ewing sarcoma	""	""	""		""	""	""	""	""	""	""	""	
Han et al CReports	10.1016/j.celrep.2019.12.091	Qifeng Han, Todd Bradley, Wilton B. Williams, Derek W. Cain, David C. Montefiori, Kevin O. Saunders, Robert J. Parks, Regina W. Edwards, Guido Ferrari, Olaf Mueller, Xiaoying Shen, Kevin J. Wiehe, Steven Reed, Christopher B. Fox, Wes Rountree, Nathan A. Vandergrift, Yunfei Wang, Laura L. Sutherland, Sampa Santra, M. Anthony Moody, Sallie R. Permar, Georgia D. Tomaras, Mark G. Lewis, Koen K.A. Van Rompay, Barton F. Haynes	Cell Reports	Neonatal Rhesus Macaques Have Distinct Immune Cell Transcriptional Profiles following HIV Envelope Immunization	20200211	""	""	""	""	Chromium	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Sridhar et al CReports	10.1016/j.celrep.2020.01.007	Akshayalakshmi Sridhar, Akina Hoshino, Connor R. Finkbeiner, Alex Chitsazan, Li Dai, Alexandra K. Haugan, Kayla M. Eschenbacher, Dana L. Jackson, Cole Trapnell, Olivia Bermingham-McDonogh, Ian Glass, Thomas A. Reh	Cell Reports	Single-Cell Transcriptomic Comparison of Human Fetal Retina, hPSC-Derived Retinal Organoids, and Long-Term Retinal Cultures	20200211	""	""	Human	Eye, Culture	Chromium	GSE142526	""	RNA-seq	Fetal retina, hPSC-derived retinal organoids, long-term retinal cultures	""	""	8.5w, 11.7w, 17.9w		""	Yes	""	""	""	""	""	""	
Dang et al MPsychiatry	10.1038/s41380-020-0676-x	Jason Dang, Shashi Kant Tiwari, Kriti Agrawal, Hui Hui, Yue Qin, Tariq M. Rana	Mol Psychiatry	Glial cell diversity and methamphetamine-induced neuroinflammation in human cerebral organoids	20200212	""	""	Human	Organoid	Chromium	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Kong et al NProtocols	10.1038/s41596-019-0247-2	Wenjun Kong, Brent A. Biddy, Kenji Kamimoto, Junedh M. Amrute, Emily G. Butka, Samantha A. Morris	Nat Protoc	CellTagging: combinatorial indexing to simultaneously map lineage and identity at single-cell resolution	20200212	""	""	Human, Mouse	""	Chromium	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Wheeler et al Nature	10.1038/s41586-020-1999-0	Michael A. Wheeler, Iain C. Clark, Emily C. Tjon, Zhaorong Li, Stephanie E. J. Zandee, Charles P. Couturier, Brianna R. Watson, Giulia Scalisi, Sarah Alkwai, Veit Rothhammer, Assaf Rotem, John A. Heyman, Shravan Thaploo, Liliana M. Sanmarco, Jiannis Ragoussis, David A. Weitz, Kevin Petrecca, Jeffrey R. Moffitt, Burkhard Becher, Jack P. Antel, Alexandre Prat, Francisco J. Quintana	Nature	MAFG-driven astrocytes promote CNS inflammation	20200212	""	92,908	Human, Mouse	Brain	Drop-seq & Chromium	GSE130119	""	RNA-seq	""	Multiple sclerosis	""	""	23	Yes	Yes	No	Yes	Yes	""	""	""	
Norimoto et al Nature	10.1038/s41586-020-1993-6	Hiroaki Norimoto, Lorenz A. Fenk, Hsing-Hsi Li, Maria Antonietta Tosches, Tatiana Gallego-Flores, David Hain, Sam Reiter, Riho Kobayashi, Angeles Macias, Anja Arends, Michaela Klinkmann, Gilles Laurent	Nature	A claustrum in reptiles and its role in slow-wave sleep	20200212	""	""	Pogona vitticeps	Brain	Chromium	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
do Valle Duraes et al JCIInsight	10.1172/jci.insight.130651	Fernanda do Valle Duraes, Armelle Lafont, Martin Beibel, Kea Martin, Katy Darribat, Rachel Cuttat, Annick Waldt, Ulrike Naumann, Grazyna Wieczorek, Swann Gaulis, Sabina Pfister, Kirsten D. Mertz, Jianping Li, Guglielmo Roma, Max Warncke	JCI Insight	Immune cell landscaping reveals a protective role for regulatory T cells during kidney injury and fibrosis	20200212	""	""	Mouse	Kidney	Chromium	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Zhao et al CLetters	10.1016/j.canlet.2020.02.010	Jin Zhao, Can Guo, Fang Xiong, Jianjun Yu, Junshang Ge, Hui Wang, Qianjin Liao, Yujuan Zhou, Qian Gong, Bo Xiang, Ming Zhou, Xiaoling Li, Guiyuan Li, Wei Xiong, Jian Fang, Zhaoyang Zeng	Cancer Letters	Single cell RNA-seq reveals the landscape of tumor and infiltrating immune cells in nasopharyngeal carcinoma	20200213	""	""	Human	Tumor	Chromium	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Nelson et al NCommunications	10.1038/s41467-020-14551-2	Louisa Nelson, Anthony Tighe, Anya Golder, Samantha Littler, Bjorn Bakker, Daniela Moralli, Syed Murtuza Baker, Ian J. Donaldson, Diana C. J. Spierings, René Wardenaar, Bethanie Neale, George J. Burghel, Brett Winter-Roach, Richard Edmondson, Andrew R. Clamp, Gordon C. Jayson, Sudha Desai, Catherine M. Green, Andy Hayes, Floris Foijer, Robert D. Morgan, Stephen S. Taylor	Nat Commun	A living biobank of ovarian cancer ex vivo models reveals profound mitotic heterogeneity	20200213	""	""	Human	Ovary	Chromium	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Ellis et al DCell	10.1016/j.devcel.2020.01.009	Lisandra Vila Ellis, Margo P. Cain, Vera Hutchison, Per Flodby, Edward D. Crandall, Zea Borok, Bin Zhou, Edwin J. Ostrin, Joshua D. Wythe, Jichao Chen	Developmental Cell	Epithelial Vegfa Specifies a Distinct Endothelial Population in the Mouse Lung	20200213	""	""	Mouse	Lung	Chromium	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Kalucka et al Cell	10.1016/j.cell.2020.01.015	Joanna Kalucka, Laura P.M.H. de Rooij, Jermaine Goveia, Katerina Rohlenova, Sébastien J. Dumas, Elda Meta, Nadine V. Conchinha, Federico Taverna, Laure-Anne Teuwen, Koen Veys, Melissa García-Caballero, Shawez Khan, Vincent Geldhof, Liliana Sokol, Rongyuan Chen, Lucas Treps, Mila Borri, Pauline de Zeeuw, Charlotte Dubois, Tobias K. Karakach, Kim D. Falkenberg, Magdalena Parys, Xiangke Yin, Stefan Vinckier, Yuxiang Du, Robert A. Fenton, Luc Schoonjans, Mieke Dewerchin, Guy Eelen, Bernard Thienpont, Lin Lin, Lars Bolund, Xuri Li, Yonglun Luo, Peter Carmeliet	Cell	Single-Cell Transcriptome Atlas of Murine Endothelial Cells	20200213	""	32,000	Mouse	Artery, Brain, Colon, Heart, Intestine, Kidney, Liver, Lung, Muscle, Spleen, Testis	Chromium	""	""	RNA-seq	Endothelial cells	""	""	""	78	""	""	""	""	""	""	""	""	
Rao et al CSHMCS	10.1101/mcs.a004978	Manisha Rao, Ki Oh, Richard Moffitt, Patricia Thompson, Jinyu Li, Jingxuan Liu, Aaron Sasson, George Georgakis, Joseph Kim, Minsig Choi, Scott Powers	Cold Spring Harb Mol Case Stud	Comparative single-cell RNA sequencing (scRNA-seq) reveals liver metastasis–specific targets in a patient with small intestinal neuroendocrine cancer	20200214	""	""	Human	Intestine, Liver, Tumor	Chromium	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
McGinnis et al bioRxiv	10.1101/2020.02.12.946509	Christopher S McGinnis, David A Siegel, Guorie Xie, Mars Stone, Zev J Gartner, Nadia R Roan, Sulggi A Lee	bioRxiv	No detectable alloreactive transcriptional responses during donor-multiplexed single-cell RNA sequencing of peripheral blood mononuclear cells	20200214	10.1101/2020.02.12.946509	""	""	""	""	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Liu et al bioRxiv	10.1101/2020.02.13.947549	Zhixin Liu, Yaping Zhou, Jinggong Guo, Jiaoai Li, Zixia Tian, Zhinan Zhu, Jiajing Wang, Rui Wu, Bo Zhang, Yongjian Hu, Yijing Sun, Yan Shangguan, Weiqiang Li, Tao Li, Yunhe Hu, Chenxi Guo, Jean-David Rochaix, Yuchen Miao, Xuwu Sun	bioRxiv	Global Dynamic Molecular Profiles of Stomatal Lineage Cell Development by Single-Cell RNA Sequencing	20200214	10.1101/2020.02.13.947549	12,844	Arabidopsis	Cotyledons	""	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
